source,bucket,touchstone,ConfigID,grid_dim,rows,cols,n_cells,n_signal,n_ground,n_zero,f_signal,f_ground,f_zero,Radius,Pitch,Height,Liner,Frequency,Temperature,elapsed_s,status,Arrangement
small_10k,3x3-7x7,Line00001_T364K.s28p,Line00001,7,6,7,42,14,11,17,0.3333333333333333,0.2619047619047619,0.40476190476190477,4.404460046972836e-06,4.832290311184182e-05,6.08233797718321e-05,2.924774630404986e-06,83261019815.96213,363.70173320348283,,,"[[1, 0, 0, 1, 1, -1, -1], [0, -1, 1, 0, 0, -1, -1], [-1, 1, 1, -1, 0, -1, 1], [1, 1, 0, 1, -1, 0, 1], [0, 1, 1, 1, 0, 0, 0], [-1, 0, 0, -1, 0, 0, 0]]"
small_10k,3x3-7x7,Line00002_T595K.s32p,Line00002,7,6,7,42,16,10,16,0.38095238095238093,0.23809523809523808,0.38095238095238093,5.895022075365838e-06,2.931085361721217e-05,6.362425738131284e-05,2.045965023332718e-06,38307952927.589554,594.9692657420364,,,"[[-1, -1, 1, 0, 1, 0, 0], [0, 0, -1, 0, -1, 1, 1], [-1, -1, 0, 1, 1, -1, 0], [-1, 1, 0, 1, 1, 0, 1], [1, -1, 1, -1, 1, 0, 0], [1, 0, 1, 0, 1, 0, 0]]"
small_10k,3x3-7x7,Line00003_T369K.s10p,Line00003,5,3,5,15,5,8,2,0.3333333333333333,0.5333333333333333,0.13333333333333333,2.053059844639466e-06,5.768807022739411e-05,8.253152871382157e-05,1.4635412563497905e-06,1695028596.799398,369.2681476866447,,,"[[-1, 0, 0, -1, 1], [-1, 1, 1, -1, 1], [-1, -1, -1, 1, -1]]"
small_10k,3x3-7x7,Line00004_T435K.s14p,Line00004,6,6,6,36,7,15,14,0.19444444444444445,0.4166666666666667,0.3888888888888889,3.700623497964979e-06,2.831766651472755e-05,8.270801311279966e-05,5.782832311388964e-07,84244248982.04034,434.9262400109297,,,"[[1, 0, 0, 0, -1, -1], [-1, 0, 1, -1, 0, 1], [0, -1, 1, -1, 0, -1], [0, -1, 0, -1, -1, -1], [-1, -1, 1, 0, 1, 1], [0, 0, 0, 0, -1, -1]]"
small_10k,3x3-7x7,Line00005_T384K.s18p,Line00005,6,4,6,24,9,5,10,0.375,0.20833333333333334,0.4166666666666667,3.3013213230530577e-06,3.554709158757928e-05,7.085396127095584e-05,2.5718437728798233e-06,35739657336.68957,384.28035290621426,,,"[[0, 0, 0, 1, 1, 1], [1, 0, -1, 0, 1, 0], [0, -1, 1, 1, 1, 1], [-1, 0, 0, -1, -1, 0]]"
small_10k,3x3-7x7,Line00006_T408K.s22p,Line00006,7,6,7,42,11,22,9,0.2619047619047619,0.5238095238095238,0.21428571428571427,5.261845713819337e-06,4.8274293753904684e-05,8.91602867216395e-05,2.4281758667148643e-06,7497060708.235627,407.5397185632818,,,"[[-1, -1, -1, -1, -1, -1, 1], [-1, -1, 0, -1, 1, 1, -1], [-1, 0, -1, -1, -1, 1, -1], [-1, -1, 1, -1, -1, 0, 0], [0, -1, -1, 1, 0, 1, 1], [1, 0, 0, 0, 1, -1, 1]]"
small_10k,3x3-7x7,Line00007_T468K.s2p,Line00007,6,3,6,18,1,13,4,0.05555555555555555,0.7222222222222222,0.2222222222222222,3.4832730087930656e-06,4.6753650106544286e-05,8.663689426469988e-05,1.9782444692693177e-06,27544707119.70741,468.3730277543103,,,"[[1, -1, -1, -1, -1, -1], [-1, 0, -1, 0, 0, -1], [-1, -1, -1, -1, -1, 0]]"
small_10k,3x3-7x7,Line00008_T491K.s30p,Line00008,7,5,7,35,15,7,13,0.42857142857142855,0.2,0.37142857142857144,4.090931317527976e-06,3.710164073434199e-05,6.101676506976381e-05,7.697285674832611e-07,3239775650.1047516,490.92312337913415,,,"[[1, 1, -1, 0, 0, 1, 1], [1, 1, 0, -1, 1, 1, -1], [-1, -1, 0, -1, 1, 0, 0], [-1, 1, 1, 1, 0, 0, 0], [0, 0, 1, 0, 1, 1, 0]]"
small_10k,3x3-7x7,Line00009_T437K.s42p,Line00009,7,6,7,42,21,11,10,0.5,0.2619047619047619,0.23809523809523808,4.779139732158818e-06,5.521871356061031e-05,8.497416192535174e-05,1.239084214594285e-06,10638876557.044033,436.9603711448731,,,"[[-1, 0, 1, 0, 1, 0, 1], [1, -1, -1, 0, 1, 0, 0], [1, -1, 1, -1, 1, 1, 0], [1, 1, 1, 1, -1, 0, -1], [1, -1, 1, 1, -1, 1, 1], [0, -1, -1, 1, 0, 1, 1]]"
small_10k,3x3-7x7,Line00010_T349K.s26p,Line00010,6,6,6,36,13,10,13,0.3611111111111111,0.2777777777777778,0.3611111111111111,3.0885289975385412e-06,4.590760482165449e-05,6.0020815079812636e-05,1.3814221408354225e-06,30547647689.9871,349.3967559428825,,,"[[0, -1, 1, 0, 1, -1], [0, 1, 1, 1, 0, 1], [1, 1, -1, 0, 0, -1], [1, 1, 0, 0, 1, 0], [-1, 0, 1, 1, -1, -1], [0, 0, -1, 0, -1, -1]]"
small_10k,3x3-7x7,Line00011_T409K.s6p,Line00011,5,5,3,15,3,7,5,0.2,0.4666666666666667,0.3333333333333333,3.350460685614512e-06,5.771638815650077e-05,7.29281172808302e-05,1.7969765543584154e-06,70331593993.62827,409.08888071378817,,,"[[0, 0, 0], [-1, -1, 1], [-1, -1, -1], [-1, 0, 1], [1, 0, -1]]"
small_10k,3x3-7x7,Line00012_T423K.s10p,Line00012,4,3,4,12,5,3,4,0.4166666666666667,0.25,0.3333333333333333,4.849082359697769e-06,2.5923477198135996e-05,9.990961940195767e-05,1.1669525356882125e-06,97663834087.68202,423.31110399546935,,,"[[1, 1, 1, 0], [0, 0, -1, -1], [1, -1, 1, 0]]"
small_10k,3x3-7x7,Line00013_T518K.s14p,Line00013,7,7,3,21,7,6,8,0.3333333333333333,0.2857142857142857,0.38095238095238093,5.942601816442404e-06,2.9682210860460018e-05,8.688542189623514e-05,2.404049038321794e-06,23839990644.84073,518.4649045835579,,,"[[-1, 0, -1], [1, 1, 0], [0, 0, 1], [1, 1, 0], [-1, 0, -1], [-1, 1, -1], [0, 0, 1]]"
small_10k,3x3-7x7,Line00014_T405K.s28p,Line00014,7,7,6,42,14,12,16,0.3333333333333333,0.2857142857142857,0.38095238095238093,5.43343521925488e-06,3.303835620807539e-05,6.880964190262193e-05,2.2778738310950446e-06,80969154509.35757,404.5997961875188,,,"[[0, 1, 0, 0, -1, 1], [0, 0, 1, 1, -1, 0], [1, 0, 0, 0, 1, 0], [-1, -1, -1, -1, 1, 1], [0, -1, -1, 0, 1, -1], [1, 1, 1, -1, 0, 1], [0, 0, 0, -1, 1, -1]]"
small_10k,3x3-7x7,Line00015_T498K.s12p,Line00015,6,6,3,18,6,6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.3642654042010344e-06,2.4538940849623563e-05,9.698774473114252e-05,2.6933483834524528e-06,25868368608.744045,497.99521381025374,,,"[[-1, 0, -1], [0, 1, 0], [1, 1, -1], [0, 0, 0], [-1, 1, -1], [1, -1, 1]]"
small_10k,3x3-7x7,Line00016_T405K.s10p,Line00016,4,4,3,12,5,4,3,0.4166666666666667,0.3333333333333333,0.25,2.3724110712235968e-06,5.5888630318133074e-05,9.601672228653322e-05,2.08275364318317e-06,33969076125.765198,404.76287238379825,,,"[[1, -1, 1], [-1, 0, 1], [0, -1, 1], [0, -1, 1]]"
small_10k,3x3-7x7,Line00017_T385K.s16p,Line00017,6,5,6,30,8,11,11,0.26666666666666666,0.36666666666666664,0.36666666666666664,4.675953018856915e-06,4.322746485745819e-05,7.489131066246973e-05,2.850333606144446e-06,97369017291.8562,385.17629242123974,,,"[[-1, -1, 0, -1, 0, -1], [0, -1, 1, -1, -1, -1], [1, 1, 0, 1, 1, 1], [0, -1, 1, 0, -1, 0], [0, -1, 0, 0, 0, 1]]"
small_10k,3x3-7x7,Line00018_T523K.s14p,Line00018,4,4,4,16,7,5,4,0.4375,0.3125,0.25,2.7037010107093817e-06,2.0723014544620836e-05,7.975574860733739e-05,9.47056773053322e-07,36710231579.827705,523.2511569169687,,,"[[0, -1, 0, 1], [-1, 1, 1, 1], [1, -1, -1, 1], [-1, 1, 0, 0]]"
small_10k,3x3-7x7,Line00019_T572K.s16p,Line00019,5,5,3,15,8,3,4,0.5333333333333333,0.2,0.26666666666666666,4.545330472743581e-06,3.001847274422337e-05,8.359483390242176e-05,2.9472321456875226e-06,48725541080.64957,571.8296363155662,,,"[[1, 0, 1], [-1, -1, -1], [0, 1, 1], [0, 1, 0], [1, 1, 1]]"
small_10k,3x3-7x7,Line00020_T353K.s12p,Line00020,5,5,4,20,6,5,9,0.3,0.25,0.45,2.780971951192178e-06,4.889808461046021e-05,7.123089449763423e-05,5.607899160786346e-07,64582682361.12607,353.1332038221147,,,"[[-1, 0, 1, 0], [0, -1, -1, -1], [1, 0, 0, 0], [1, 1, 0, 1], [-1, 0, 1, 0]]"
